Slice	Count	Total Area	Average Size	%Area	Mean	Circ.	Solidity
1	1	151678	151678	37.264	255	0.264	0.851
2	1	151451	151451	37.208	255	0.267	0.853
3	1	151594	151594	37.243	255	0.270	0.855
4	1	151897	151897	37.317	255	0.276	0.862
5	1	151663	151663	37.260	255	0.274	0.861
6	1	151736	151736	37.278	255	0.264	0.862
7	1	151854	151854	37.307	255	0.263	0.859
8	1	151651	151651	37.257	255	0.267	0.861
9	1	151785	151785	37.290	255	0.282	0.867
10	1	151782	151782	37.289	255	0.269	0.862
11	1	151725	151725	37.275	255	0.260	0.859
12	1	152119	152119	37.372	255	0.266	0.861
13	1	152254	152254	37.405	255	0.271	0.861
14	1	152350	152350	37.429	255	0.266	0.860
15	1	152536	152536	37.474	255	0.260	0.858
16	1	153329	153329	37.669	255	0.274	0.862
17	1	154052	154052	37.847	255	0.275	0.860
18	1	153463	153463	37.702	255	0.275	0.862
19	1	155255	155255	38.142	255	0.253	0.852
20	1	155054	155054	38.093	255	0.269	0.858
21	1	155548	155548	38.214	255	0.272	0.858
22	1	155411	155411	38.181	255	0.268	0.858
23	1	155492	155492	38.201	255	0.261	0.857
24	1	156584	156584	38.469	255	0.265	0.858
25	1	156880	156880	38.542	255	0.274	0.860
26	1	156865	156865	38.538	255	0.269	0.859
27	1	157184	157184	38.616	255	0.264	0.859
28	1	156614	156614	38.476	255	0.272	0.859
29	1	157592	157592	38.717	255	0.255	0.854
30	1	156931	156931	38.554	255	0.289	0.860
31	1	157883	157883	38.788	255	0.289	0.861
32	1	156769	156769	38.514	255	0.293	0.860
33	1	155419	155419	38.183	255	0.291	0.859
34	1	154647	154647	37.993	255	0.287	0.856
35	1	154180	154180	37.878	255	0.286	0.855
36	1	153963	153963	37.825	255	0.293	0.852
37	1	152914	152914	37.567	255	0.311	0.870
38	1	152321	152321	37.422	255	0.305	0.862
39	1	150609	150609	37.001	255	0.302	0.876
40	1	149489	149489	36.726	255	0.301	0.876
41	1	149469	149469	36.721	255	0.321	0.869
42	1	149317	149317	36.684	255	0.326	0.871
43	1	149230	149230	36.662	255	0.324	0.872
44	1	148201	148201	36.409	255	0.325	0.875
45	1	148352	148352	36.447	255	0.339	0.877
46	1	148778	148778	36.551	255	0.337	0.879
47	1	149023	149023	36.611	255	0.328	0.880
48	1	150059	150059	36.866	255	0.338	0.881
49	1	150332	150332	36.933	255	0.312	0.880
50	1	151922	151922	37.324	255	0.325	0.882
51	1	153014	153014	37.592	255	0.317	0.885
52	1	154021	154021	37.839	255	0.307	0.884
53	1	155232	155232	38.137	255	0.303	0.883
54	1	156103	156103	38.351	255	0.312	0.885
55	1	157488	157488	38.691	255	0.304	0.884
56	1	158009	158009	38.819	255	0.294	0.879
57	1	159035	159035	39.071	255	0.292	0.880
58	1	159577	159577	39.204	255	0.275	0.874
59	1	160776	160776	39.499	255	0.272	0.873
60	1	162485	162485	39.919	255	0.291	0.876
61	1	163482	163482	40.164	255	0.286	0.875
62	1	164293	164293	40.363	255	0.280	0.873
63	1	165214	165214	40.589	255	0.292	0.875
64	1	165299	165299	40.610	255	0.286	0.872
65	1	166133	166133	40.815	255	0.269	0.858
66	1	166076	166076	40.801	255	0.275	0.865
67	1	164911	164911	40.515	255	0.246	0.865
68	1	165533	165533	40.668	255	0.234	0.861
69	1	165908	165908	40.760	255	0.237	0.854
70	1	166663	166663	40.945	255	0.238	0.854
71	1	166825	166825	40.985	255	0.235	0.854
72	1	167307	167307	41.103	255	0.230	0.848
73	1	167118	167118	41.057	255	0.233	0.849
74	1	167361	167361	41.117	255	0.249	0.854
75	1	166193	166193	40.830	255	0.233	0.849
76	1	166479	166479	40.900	255	0.232	0.849
77	1	166408	166408	40.882	255	0.227	0.848
78	1	165991	165991	40.780	255	0.245	0.859
79	1	165108	165108	40.563	255	0.248	0.860
80	1	165143	165143	40.572	255	0.270	0.865
81	1	165349	165349	40.622	255	0.255	0.864
82	1	165947	165947	40.769	255	0.268	0.859
83	1	165912	165912	40.761	255	0.257	0.864
84	1	165739	165739	40.718	255	0.266	0.863
85	1	165385	165385	40.631	255	0.259	0.861
86	1	164848	164848	40.499	255	0.271	0.870
87	1	164998	164998	40.536	255	0.275	0.871
88	1	164624	164624	40.444	255	0.262	0.863
89	1	164241	164241	40.350	255	0.249	0.864
90	1	165081	165081	40.556	255	0.239	0.852
91	1	165834	165834	40.741	255	0.244	0.853
92	1	166030	166030	40.790	255	0.241	0.852
93	1	165684	165684	40.705	255	0.239	0.852
94	1	166461	166461	40.895	255	0.259	0.853
95	1	166750	166750	40.966	255	0.250	0.854
96	1	165335	165335	40.619	255	0.262	0.856
97	1	166146	166146	40.818	255	0.241	0.851
98	1	165675	165675	40.702	255	0.243	0.851
99	1	165305	165305	40.611	255	0.255	0.856
100	1	165063	165063	40.552	255	0.259	0.856
101	1	165338	165338	40.620	255	0.249	0.848
102	1	165379	165379	40.630	255	0.253	0.850
103	1	164937	164937	40.521	255	0.253	0.855
104	1	164124	164124	40.321	255	0.280	0.866
105	1	163763	163763	40.233	255	0.263	0.855
106	1	163832	163832	40.250	255	0.251	0.847
107	1	163662	163662	40.208	255	0.255	0.856
108	1	163337	163337	40.128	255	0.242	0.856
109	1	163093	163093	40.068	255	0.257	0.851
110	1	161892	161892	39.773	255	0.244	0.858
111	1	161681	161681	39.721	255	0.250	0.859
112	1	160832	160832	39.513	255	0.249	0.857
113	1	160069	160069	39.325	255	0.247	0.861
114	1	159234	159234	39.120	255	0.259	0.859
115	1	158294	158294	38.889	255	0.261	0.857
116	1	158080	158080	38.836	255	0.301	0.861
117	1	156693	156693	38.496	255	0.317	0.864
118	1	156049	156049	38.338	255	0.316	0.861
119	1	153991	153991	37.832	255	0.316	0.877
120	1	151765	151765	37.285	255	0.317	0.882
121	1	151461	151461	37.210	255	0.320	0.878
122	1	152916	152916	37.568	255	0.333	0.872
123	1	153190	153190	37.635	255	0.333	0.871
124	1	153092	153092	37.611	255	0.359	0.893
125	1	153279	153279	37.657	255	0.328	0.874
126	1	153636	153636	37.745	255	0.322	0.874
127	1	153483	153483	37.707	255	0.329	0.874
128	1	154441	154441	37.942	255	0.336	0.882
129	1	154988	154988	38.077	255	0.312	0.881
130	1	155734	155734	38.260	255	0.334	0.887
131	1	156866	156866	38.538	255	0.314	0.884
132	1	157711	157711	38.746	255	0.320	0.885
133	1	159073	159073	39.080	255	0.330	0.887
134	1	159192	159192	39.110	255	0.305	0.886
135	1	159857	159857	39.273	255	0.315	0.889
136	1	160520	160520	39.436	255	0.293	0.884
137	1	161322	161322	39.633	255	0.302	0.881
138	1	161721	161721	39.731	255	0.280	0.880
139	1	161584	161584	39.697	255	0.281	0.879
140	1	161972	161972	39.793	255	0.275	0.878
141	1	162563	162563	39.938	255	0.274	0.878
142	1	163346	163346	40.130	255	0.273	0.873
143	1	164391	164391	40.387	255	0.271	0.874
144	1	164378	164378	40.384	255	0.263	0.870
145	1	164645	164645	40.449	255	0.259	0.871
146	1	164313	164313	40.368	255	0.259	0.869
147	1	164787	164787	40.484	255	0.252	0.864
148	1	163562	163562	40.183	255	0.263	0.861
149	1	164371	164371	40.382	255	0.244	0.859
150	1	162840	162840	40.006	255	0.235	0.858
151	1	161721	161721	39.731	255	0.210	0.861
152	1	161827	161827	39.757	255	0.211	0.859
153	1	162769	162769	39.988	255	0.207	0.861
154	1	163130	163130	40.077	255	0.203	0.853
155	1	163095	163095	40.069	255	0.206	0.857
156	1	162425	162425	39.904	255	0.194	0.855
157	1	161988	161988	39.797	255	0.191	0.854
158	1	162027	162027	39.806	255	0.195	0.855
159	1	162626	162626	39.953	255	0.195	0.858
160	1	161900	161900	39.775	255	0.191	0.859
161	1	161591	161591	39.699	255	0.193	0.856
162	1	161352	161352	39.640	255	0.198	0.859
163	1	160198	160198	39.357	255	0.202	0.860
164	1	160363	160363	39.397	255	0.195	0.850
165	1	159923	159923	39.289	255	0.198	0.861
166	1	160016	160016	39.312	255	0.210	0.861
167	1	159160	159160	39.102	255	0.201	0.868
168	1	159245	159245	39.123	255	0.208	0.868
169	1	158867	158867	39.030	255	0.204	0.870
170	1	158212	158212	38.869	255	0.216	0.873
171	1	158328	158328	38.897	255	0.215	0.869
172	1	157621	157621	38.724	255	0.214	0.871
173	1	157544	157544	38.705	255	0.219	0.870
174	1	158304	158304	38.892	255	0.201	0.847
175	1	157805	157805	38.769	255	0.224	0.870
176	1	159099	159099	39.087	255	0.212	0.858
177	1	159583	159583	39.206	255	0.207	0.860
178	1	160269	160269	39.374	255	0.204	0.851
179	1	160626	160626	39.462	255	0.203	0.852
180	1	160548	160548	39.443	255	0.211	0.851
181	1	160891	160891	39.527	255	0.219	0.856
182	1	160753	160753	39.493	255	0.213	0.848
183	1	161480	161480	39.672	255	0.216	0.850
184	1	161418	161418	39.657	255	0.213	0.849
